DATE_KEY,INVOICE_NO,PRODUCT_KEY,PRODUCT_DESCRIPTION
20110201,59437,57416,Bread
20110201,59685,57416,Bread
20110201,59700,57416,Bread
20110201,59814,57416,Bread
20110201,59897,57416,Bread
20110201,60055,57416,Bread
20110201,60132,57416,Bread
20110201,60204,57416,Bread
20110201,60330,57416,Bread
20110201,60367,57416,Bread
20110201,74889,57416,Bread
20110201,74917,57416,Bread
20110201,75260,57416,Bread
20110201,75274,57416,Bread
20110201,53253,57416,Bread
20110201,53441,57416,Bread
20110201,69428,57416,Bread
20110202,89953,57416,Bread
20110202,38150,57416,Bread
20110202,75981,57416,Bread
20110202,76119,57416,Bread
20110202,98032,57416,Bread
20110202,98079,57416,Bread
20110202,98103,57416,Bread
20110202,73444,57416,Bread
20110202,73460,57416,Bread
20110202,59648,57416,Bread
20110202,5822,57416,Bread
20110202,67388,57416,Bread
20110202,67492,57416,Bread
20110202,67552,57416,Bread
20110202,67568,57416,Bread
20110202,68017,57416,Bread
20110202,61125,57416,Bread
20110202,61210,57416,Bread
20110202,61213,57416,Bread
20110202,61227,57416,Bread
20110202,61363,57416,Bread
20110202,76010,57416,Bread
20110202,76136,57416,Bread
20110202,40891,57416,Bread
20110203,90675,57416,Bread
20110203,91660,57416,Bread
20110203,91674,57416,Bread
20110203,76512,57416,Bread
20110203,98753,57416,Bread
20110203,74201,57416,Bread
20110203,59997,57416,Bread
20110203,60139,57416,Bread
20110203,60190,57416,Bread
20110203,60192,57416,Bread
20110203,60226,57416,Bread
20110203,60262,57416,Bread
20110203,44618,57416,Bread
20110203,6031,57416,Bread
20110203,6245,57416,Bread
20110203,6313,57416,Bread
20110203,5824,57416,Bread
20110203,3192,57416,Bread
20110203,3254,57416,Bread
20110203,3322,57416,Bread
20110203,50596,57416,Bread
20110203,50660,57416,Bread
20110203,50739,57416,Bread
20110203,50780,57416,Bread
20110203,50927,57416,Bread
20110203,68549,57416,Bread
20110203,68691,57416,Bread
20110203,68705,57416,Bread
20110203,68726,57416,Bread
20110203,68816,57416,Bread
20110203,68913,57416,Bread
20110203,69191,57416,Bread
20110203,69334,57416,Bread
20110203,62393,57416,Bread
20110203,62497,57416,Bread
20110203,41044,57416,Bread
20110203,54191,57416,Bread
20110203,70366,57416,Bread
20110204,34122,57416,Bread
20110204,39341,57416,Bread
20110204,39413,57416,Bread
20110204,77086,57416,Bread
20110204,77157,57416,Bread
20110204,77192,57416,Bread
20110204,99545,57416,Bread
20110204,14175,57416,Bread
20110204,14406,57416,Bread
20110204,44883,57416,Bread
20110204,5918,57416,Bread
20110204,51317,57416,Bread
20110204,51388,57416,Bread
20110204,69655,57416,Bread
20110204,69849,57416,Bread
20110204,63191,57416,Bread
20110204,63411,57416,Bread
20110204,63556,57416,Bread
20110204,63700,57416,Bread
20110204,77257,57416,Bread
20110204,77422,57416,Bread
20110204,70818,57416,Bread
20110205,77775,57416,Bread
20110205,77821,57416,Bread
20110205,78177,57416,Bread
20110205,621,57416,Bread
20110205,713,57416,Bread
20110205,15187,57416,Bread
20110205,7433,57416,Bread
20110205,70588,57416,Bread
20110205,70897,57416,Bread
20110205,71025,57416,Bread
20110205,64549,57416,Bread
20110205,64949,57416,Bread
20110205,78093,57416,Bread
20110205,78226,57416,Bread
20110205,51653,57416,Bread
20110205,51802,57416,Bread
20110205,55024,57416,Bread
20110206,93979,57416,Bread
20110206,79026,57416,Bread
